#{"t_start": 1789588117.2260764, "env_id": "None"}
r,l,t
-100.788394,6,4279.498738
149.757752,42,4282.344512
-54.538615,120,4289.437106
121.021709,22,4290.917507
233.507029,102,4296.770286
113.810141,24,4298.700732
141.918239,36,4301.763154
195.614577,127,4311.008259
226.211124,101,4317.878278
224.032909,46,4320.821797
189.704182,75,4325.994061
152.790788,74,4330.228666
151.597391,58,4333.943023
149.226103,60,4337.551588
184.642812,79,4343.084588
207.86579,93,4350.37264
-59.160143,41,4354.766171
141.943191,38,4357.024535
213.916655,159,4367.933272
173.609103,60,4371.991356
212.516242,112,4378.906905
-99.417211,1,4379.696404
-99.920189,1,4380.281537
179.797094,56,4383.591687
144.487067,39,4386.346255
136.404162,76,4390.878195
180.086458,67,4394.768432
221.632648,124,4403.023727
-100.083019,1,4403.416064
223.356143,124,4411.157086
-126.679238,1,4412.083372
223.297573,116,4419.069683
167.042652,68,4423.174534
155.394867,67,4427.417403
163.808427,101,4433.45174
182.762888,113,4441.913578
-99.414901,1,4443.185533
186.233853,71,4447.713875
103.703224,16,4449.528435
174.001883,67,4454.1348
141.900983,44,4458.308207
-100.541015,2,4458.770763
-139.679913,1,4459.610499
171.258409,59,4463.41964
-99.799718,1,4463.536728
-81.531541,36,4465.971996
-22.665978,118,4474.996073
-212.936371,1,4475.09099
-39.343293,115,4482.037567
206.006581,126,4489.440493
168.651883,87,4495.249706
219.157401,101,4501.044268
124.785634,41,4503.475698
147.305196,92,4508.875815
149.591984,45,4511.872876
148.287117,80,4516.648719
-64.792378,96,4523.327813
194.90824,67,4527.538287
165.483196,103,4534.114074
220.188288,108,4540.803635
138.199593,37,4544.682332
192.25077,67,4548.671175
162.204256,65,4552.809022
-86.496316,1,4554.408692
-50.0884,1,4554.810848
195.607986,97,4562.043447
-23.982851,105,4569.117782
220.232484,95,4574.783551
147.26595,71,4579.023937
170.918109,153,4587.862535
242.36583,123,4595.330034
104.371911,8,4596.032514
185.122837,93,4601.574382
-44.799206,4,4603.812537
228.176622,132,4613.142586
139.503776,40,4616.2168
-100.202858,3,4618.116336
178.204878,73,4623.68642
180.742252,99,4630.43949
243.248901,133,4638.46236
213.165136,92,4643.942603
127.272112,36,4646.130203
178.683071,98,4651.985383
144.222243,43,4654.537819
171.707058,79,4659.441319
162.438285,114,4666.58844
204.269226,95,4672.426258
155.089423,67,4677.535226
-100.06078,1,4677.877155
-102.298299,11,4678.963731
178.438814,84,4683.859717
198.532497,95,4689.642396
-100.191041,1,4690.285583
116.658517,29,4692.410191
116.458126,13,4693.672362
166.501486,52,4696.683652
-23.858726,222,4709.873654
215.168208,97,4715.452826
194.113861,110,4721.852658
-93.442992,41,4724.731984
-100.079277,1,4724.911139
242.750606,158,4734.144709
245.678961,62,4739.730638
-99.583957,1,4740.181478
230.066258,119,4747.21817
263.22828,138,4755.109
189.911413,120,4763.150445
117.045636,22,4764.509216
-6.830965,107,4772.316532
137.211281,37,4774.469266
-100.062492,1,4775.105917
152.333644,54,4778.51932
212.836511,119,4786.983985
129.908536,22,4788.483548
-100.154991,1,4788.601268
191.959665,75,4793.04762
135.235426,46,4795.755792
176.304177,81,4801.046573
-109.946606,111,4807.838627
-100.05575,1,4808.032923
-206.924145,1,4808.201495
188.698748,71,4812.897326
167.956499,78,4818.119573
-96.749726,4,4818.909622
154.169473,43,4821.463753
147.461814,52,4824.762526
144.134339,61,4828.364348
-100.050086,1,4829.956878
-99.708326,1,4831.556794
-202.200239,1,4831.765074
153.962619,71,4836.280886
164.605465,47,4839.251428
141.517883,55,4843.415477
227.939729,109,4850.527491
254.914425,71,4856.57714
-54.007746,81,4862.132436
191.464944,99,4869.442596
188.433244,105,4876.559662
159.07525,48,4881.313681
170.034597,69,4885.723873
229.156384,100,4891.439129
-100.540627,17,4893.304235
-100.089999,1,4895.410746
-234.113242,10,4897.964365
144.167703,67,4902.31079
170.952792,59,4905.957265
181.814124,70,4910.273749
-99.437165,1,4910.416474
190.478756,78,4915.16792
192.439979,114,4921.874444
192.617704,89,4926.991584
152.376875,39,4931.11979
185.851686,101,4937.145358
167.384751,90,4942.570261
199.724706,122,4949.780134
-99.496701,1,4950.123223
214.876375,120,4957.481668
216.435614,126,4964.750307
-99.949101,1,4965.840547
111.694451,44,4968.668345
-29.919376,131,4976.607225
213.131982,115,4984.117123
135.703314,41,4987.149541
198.062004,80,4991.78063
123.542059,55,4995.205929
162.139616,49,4998.463995
203.556651,98,5004.396106
-95.607856,19,5005.624095
-29.721649,138,5013.900807
2.036388,129,5021.322588
-92.158075,30,5023.097294
145.676627,42,5025.664539
236.788007,167,5035.690519
244.102128,125,5043.27613
-99.943765,1,5044.360351
-100.064418,1,5045.086514
-100.067388,1,5045.336493
203.900282,89,5050.834201
202.426359,86,5056.045109
200.971279,116,5063.332967
203.014726,107,5069.834133
248.103018,147,5078.525135
115.697977,23,5081.074652
-100.097111,1,5081.944763
200.687372,120,5089.027331
3.566861,1,5089.54998
-58.263128,127,5096.970322
144.748894,29,5099.099815
185.617527,54,5103.455547
-100.107905,1,5103.858077
134.996179,54,5107.156924
147.117088,65,5111.399538
141.492923,76,5117.748483
213.006609,115,5124.659758
238.56111,141,5133.248766
227.026798,122,5140.516028
171.561807,78,5147.0052
163.548028,62,5150.59078
217.310031,139,5159.025523
-100.063115,1,5159.254948
131.486284,28,5161.58353
115.859089,30,5163.667852
-85.897194,28,5166.495462
-100.052465,1,5166.721272
163.807032,49,5169.602367
148.40057,42,5172.862002
-45.588852,1,5173.718316
-57.103078,75,5178.030029
176.895665,64,5181.702023
-98.787566,87,5186.894183
-46.365005,73,5193.012934
